danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,duration_min,release_year,key,mode,time_signature,playlist_genre,track_popularity,label_kaggle
0.871,0.702,0.253,0.0,0.0912,0.675,125.089,2.1881,2019.0,5.0,1.0,4.0,hip-hop,69,1
0.787,0.57,0.225,0.0,0.135,0.733,142.974,3.731316666666667,2023.0,3.0,1.0,4.0,hip-hop,69,1
0.709,0.583,0.204,2.97e-06,0.195,0.533,116.624,3.04445,2022.0,5.0,0.0,4.0,hip-hop,79,1
0.82,0.592,0.29,4.71e-06,0.121,0.4,159.98,3.2696666666666667,2020.0,1.0,1.0,4.0,hip-hop,78,1
0.85,0.68,0.338,0.0,0.0964,0.694,144.006,2.8888833333333332,2021.0,3.0,0.0,1.0,hip-hop,70,1
0.681,0.758,0.188,0.0,0.555,0.331,165.409,3.6764,2024.0,1.0,1.0,4.0,hip-hop,73,1
0.772,0.413,0.0891,0.0,0.111,0.211,131.964,4.10355,2012.0,0.0,0.0,4.0,hip-hop,77,1
0.752,0.658,0.342,0.0,0.0927,0.387,151.951,3.558666666666667,2020.0,0.0,1.0,4.0,hip-hop,70,1
0.548,0.732,0.336,0.0,0.269,0.612,142.791,2.125783333333333,2020.0,11.0,0.0,4.0,hip-hop,71,1
0.594,0.676,0.344,0.0,0.163,0.472,143.477,3.019083333333333,2019.0,2.0,1.0,4.0,hip-hop,69,1
0.49,0.618,0.104,3.77e-06,0.259,0.286,99.7,3.36,2020.0,1.0,1.0,4.0,hip-hop,68,1
0.822,0.35,0.574,0.0,0.0757,0.346,77.528,3.1,2018.0,1.0,0.0,4.0,hip-hop,68,1
0.804,0.946,0.352,0.0,0.359,0.745,150.141,2.448,2020.0,7.0,1.0,4.0,hip-hop,70,1
0.819,0.626,0.202,0.101,0.167,0.415,143.01,3.2651,2020.0,10.0,0.0,4.0,hip-hop,78,1
0.696,0.592,0.319,0.0,0.127,0.232,188.051,2.0446666666666666,2020.0,1.0,1.0,4.0,hip-hop,72,1
0.92,0.547,0.272,1.45e-06,0.0998,0.606,138.05,1.4922666666666666,2020.0,6.0,0.0,4.0,hip-hop,70,1
0.793,0.395,0.385,1.4e-05,0.109,0.128,76.984,3.5547833333333334,2018.0,1.0,1.0,4.0,hip-hop,69,1
0.867,0.774,0.315,0.0,0.157,0.549,130.007,2.3749666666666664,2018.0,11.0,0.0,4.0,hip-hop,69,1
0.578,0.449,0.286,2.17e-06,0.119,0.1,136.006,3.2159333333333335,2021.0,1.0,1.0,4.0,hip-hop,73,1
0.529,0.673,0.175,2.41e-06,0.093,0.366,165.921,3.6394166666666665,2022.0,0.0,1.0,4.0,hip-hop,80,1
0.729,0.73,0.261,4.33e-05,0.118,0.41,156.953,3.189983333333333,2019.0,11.0,0.0,4.0,hip-hop,75,1
0.964,0.487,0.421,6.07e-06,0.115,0.108,127.05,2.567066666666667,2018.0,10.0,0.0,4.0,hip-hop,77,1
